district,county,state_school_id,nces_id,school_name,school_type,is_zoned_public,is_charter,is_magnet,is_private,grades_served,address,city,zip,latitude,longitude,source_url,notes
ORANGE,ORANGE,480991,,CLAY SPRINGS ELEMENTARY,Elementary,YES,NO,,NO,,555 N Wekiva Springs Rd,Apopka,32712,28.6891565926629,-81.465790605572,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481001,,UNIVERSITY HIGH,Senior High,YES,NO,,NO,,2450 Cougar Way,Orlando,32817,28.5777498370768,-81.2170610085044,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481003,,LUCIOUS AND EMMA NIXON ACADEMY CHARTER,Elementary,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481009,,BRIDGEPREP ACADEMY CHARTER,Combination,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481010,,RENAISSANCE CHARTER AT CROWN POINT,Combination,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481011,,ROCK SPRINGS ELEMENTARY,Elementary,YES,NO,,NO,,2400 N Rock Springs Rd,Apopka,32712,28.720015634835,-81.5111776977829,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481012,,CASTLEVIEW ELEMENTARY,Elementary,YES,NO,,NO,,9131 Taborfield Ave,Orlando,32836,28.4326501239387,-81.556710886828,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481014,,OCPS ACADEMIC CENTER FOR EXCELLENCE,Combination,YES,NO,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481015,,HAMLIN MIDDLE,Middle/Junior,YES,NO,,NO,,16025 Silver Grove Blvd,Winter Garden,34787,28.4652640246292,-81.6447108080868,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481018,,MATER ACADEMY NARCOOSSEE,Combination,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481019,,MATER ACADEMY NARCOOSSEE HIGH SCHOOL,Senior High,NO,YES,,NO,,,,,,,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481021,,METROWEST ELEMENTARY,Elementary,YES,NO,,NO,,1801 Lake Vilma Dr,Orlando,32835,28.5221761036639,-81.4932842044381,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481022,,HORIZON WEST MIDDLE,Middle/Junior,YES,NO,,NO,,8200 Tattant Blvd,Windermere,34786,28.4512939584452,-81.5684585721603,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481023,,SUNSHINE ELEMENTARY,Elementary,YES,NO,,NO,,13225 International Dr,Orlando,32821,28.377527488347,-81.4860858781551,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481024,,WATER SPRING ELEMENTARY,Elementary,YES,NO,,NO,, , , ,28.4018927208762,-81.6508455772402,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481026,,KELLY PARK SCHOOL,Combination,YES,NO,,NO,,4700 Jason Dwelley Pkwy,Apopka,32712,28.7524992978915,-81.5432173583585,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481031,,SOUTHWEST MIDDLE,Middle/Junior,YES,NO,,NO,,6450 Dr Phillips Blvd,Orlando,32819,28.4690580392466,-81.4937334394296,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481041,,MEADOW WOODS ELEMENTARY,Elementary,YES,NO,,NO,,500 Rhode Island Woods Cir,Orlando,32824,28.3714256570906,-81.3629706362445,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481051,,WATERBRIDGE ELEMENTARY,Elementary,YES,NO,,NO,,11100 Galvin Dr,Orlando,32837,28.4075980887969,-81.4188429463124,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481061,,WINDY RIDGE K-8,Combination,YES,NO,,NO,,3900 Beech Tree Dr,Orlando,32835,28.502715318791,-81.4986698128316,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481071,,BAY MEADOWS ELEMENTARY,Elementary,YES,NO,,NO,,9150 Apopka Vineland Rd,Orlando,32836,28.4343958579986,-81.5059924532676,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,481081,,JOHN YOUNG ELEMENTARY,Elementary,YES,NO,,NO,,12550 Marsfield Ave,Orlando,32837,28.3839007636463,-81.4230883867441,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
