NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120147008886,VICTORY CHARTER SCHOOL K-5,OSCEOLA,2880 N. ORANGE BLOSSOM TRAIL,KISSIMMEE,FL,34741,28.332981,-81.404428,12097,Osceola County,21
120147008947,CANOE CREEK K-8,OSCEOLA,3600 CANOE CREEK ROAD,ST. CLOUD,FL,34772,28.185518,-81.290632,12097,Osceola County,21
120147009034,BRIDGEPREP ACADEMY OF ST.CLOUD,OSCEOLA,9875 SW 72 STREET,MIAMI,FL,33173,28.230873,-81.316768,12097,Osceola County,21
120147010690,ISLAND VILLAGE ELEMENTARY SCHOOL,OSCEOLA,2050 CELEBRATION BLVD,KISSIMMEE,FL,34747,28.288969,-81.583222,12097,Osceola County,41
120147010796,ACADEMIR PREPARATORY OF CHAMPIONSGATE,OSCEOLA,5420 SW 157TH AVE #5,MIAMI,FL,33185,28.274482,-81.621027,12097,Osceola County,41
120147010797,KNIGHTS POINT K-8,OSCEOLA,817 BILL BECK BLVD,KISSIMMEE,FL,34744,28.269812,-81.481167,12097,Osceola County,41
120147010798,VOYAGER K-8,OSCEOLA,817 BILL BECK BLVD,KISSIMMEE,FL,34744,28.33848,-81.171199,12097,Osceola County,41
120159001043,LOUGHMAN OAKS ELEMENTARY SCHOOL,POLK,4600 US HWY 17- 92 N,DAVENPORT,FL,33837,28.218471,-81.568763,12105,Polk County,23
120159001703,LAKELAND SENIOR HIGH SCHOOL,POLK,726 HOLLINGSWORTH RD,LAKELAND,FL,33801,28.035502,-81.939837,12105,Polk County,12
120159001705,SOUTHWEST MIDDLE SCHOOL,POLK,2815 EDEN PKWY,LAKELAND,FL,33803,28.012362,-81.964104,12105,Polk County,12
120159001706,CARLTON PALMORE ELEMENTARY SCHOOL,POLK,3725 CLEVELND HTS BLVD,LAKELAND,FL,33803,27.995858,-81.949635,12105,Polk County,12
120159001708,CLEVELAND COURT ELEMENTARY SCHOOL,POLK,328 EDGEWOOD DR E,LAKELAND,FL,33803,28.012104,-81.954079,12105,Polk County,12
